Botanical Name,DBH,DAUID,CTUID,City
Fraxinus pennsylvanica,26,47060252,7050027.00,Regina
Ulmus americana,37,47060372,7050022.01,Regina
Populus x jackii 'Northwest',36,47060393,7050100.15,Regina
Ulmus pumila,37,47060372,7050022.01,Regina
Ulmus pumila,31,47060372,7050022.01,Regina
Ulmus pumila,34,47060372,7050022.01,Regina
Fraxinus pennsylvanica,35,47060372,7050022.01,Regina
Fraxinus pennsylvanica,32,47060372,7050022.01,Regina
Fraxinus pennsylvanica,27,47060372,7050022.01,Regina
Fraxinus pennsylvanica,38,47060372,7050022.01,Regina
Fraxinus pennsylvanica,29,47060372,7050022.01,Regina
Fraxinus pennsylvanica,32,47060372,7050022.01,Regina
Fraxinus pennsylvanica,33,47060372,7050022.01,Regina
Fraxinus pennsylvanica,24,47060372,7050022.01,Regina
Fraxinus pennsylvanica,26,47060372,7050022.01,Regina
Fraxinus pennsylvanica,31,47060372,7050022.01,Regina
Fraxinus pennsylvanica,27,47060372,7050022.01,Regina
Ulmus americana,25,47060509,7050022.01,Regina
Picea,18,47060298,7050017.00,Regina
Fraxinus pennsylvanica,24,47060298,7050017.00,Regina
Fraxinus pennsylvanica,23,47060298,7050017.00,Regina
Picea,25,47060298,7050017.00,Regina
Picea,19,47060298,7050017.00,Regina
Picea,28,47060145,7050002.02,Regina
Fraxinus pennsylvanica,5,47060372,7050022.01,Regina
Fraxinus pennsylvanica,34,47060372,7050022.01,Regina
Ulmus americana,30,47060301,7050018.00,Regina
Picea,21,47060298,7050017.00,Regina
Picea,20,47060298,7050017.00,Regina
Ulmus americana,29,47060298,7050017.00,Regina
Picea,15,47060298,7050017.00,Regina
Picea,12,47060298,7050017.00,Regina
Picea,12,47060298,7050017.00,Regina
Picea,18,47060298,7050017.00,Regina
Picea,19,47060298,7050017.00,Regina
Picea,17,47060298,7050017.00,Regina
Ulmus americana,32,47060298,7050017.00,Regina
Populus x jackii 'Northwest',39,47060298,7050017.00,Regina
Picea,12,47060298,7050017.00,Regina
Picea,18,47060298,7050017.00,Regina
Picea,15,47060298,7050017.00,Regina
Picea,12,47060298,7050017.00,Regina
Ulmus americana,38,47060372,7050022.01,Regina
Ulmus americana,43,47060372,7050022.01,Regina
Picea,18,47060298,7050017.00,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Populus x jackii 'Northwest',29,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Picea,17,47060298,7050017.00,Regina
Ulmus americana,13,47060298,7050017.00,Regina
Acer negundo,7,47062519,7050004.01,Regina
Ulmus pumila,6,47062519,7050004.01,Regina
Fraxinus pennsylvanica,20,47060456,7050012.00,Regina
Ulmus pumila,5,47062519,7050004.01,Regina
Ulmus pumila,7,47062519,7050004.01,Regina
Fraxinus pennsylvanica,21,47060298,7050017.00,Regina
Fraxinus pennsylvanica,22,47060298,7050017.00,Regina
Picea,19,47060298,7050017.00,Regina
Fraxinus pennsylvanica,16,47060298,7050017.00,Regina
Fraxinus pennsylvanica,20,47060298,7050017.00,Regina
Ulmus americana,17,47060298,7050017.00,Regina
Picea,27,47060298,7050017.00,Regina
Picea,20,47060298,7050017.00,Regina
Ulmus americana,21,47060298,7050017.00,Regina
Ulmus americana,32,47060298,7050017.00,Regina
Fraxinus pennsylvanica,8,47060372,7050022.01,Regina
Picea,15,47060186,7050009.01,Regina
Populus x jackii 'Northwest',38,47060186,7050009.01,Regina
Picea,20,47060298,7050017.00,Regina
Picea,22,47060298,7050017.00,Regina
Picea,19,47060298,7050017.00,Regina
Ulmus americana,50,47060655,7050006.01,Regina
Ulmus americana,40,47060655,7050006.01,Regina
Ulmus americana,30,47060655,7050006.01,Regina
Ulmus americana,30,47060655,7050006.01,Regina
Picea,40,47060655,7050006.01,Regina
Tilia,15,47060655,7050006.01,Regina
Picea,15,47060254,7050015.00,Regina
Picea,30,47060655,7050006.01,Regina
Fraxinus pennsylvanica,0,47060252,7050027.00,Regina
Fraxinus pennsylvanica,18,47060254,7050015.00,Regina
Fraxinus pennsylvanica,0,47060252,7050027.00,Regina
Fraxinus pennsylvanica,0,47060252,7050027.00,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Populus x jackii 'Northwest',34,47062519,7050004.01,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Populus x jackii 'Northwest',35,47062519,7050004.01,Regina
Fraxinus pennsylvanica,27,47060372,7050022.01,Regina
Fraxinus pennsylvanica,15,47060456,7050012.00,Regina
Fraxinus pennsylvanica,8,47060456,7050012.00,Regina
Tilia,26,47060503,7050001.01,Regina
Tilia,23,47060503,7050001.01,Regina
Tilia,10,47060503,7050001.01,Regina
Quercus macrocarpa,8,47060149,7050002.02,Regina
Tilia,10,47060503,7050001.01,Regina
Populus x jackii 'Northwest',48,47060298,7050017.00,Regina
Picea,20,47060298,7050017.00,Regina
Picea,21,47060298,7050017.00,Regina
Populus x jackii 'Northwest',45,47060298,7050017.00,Regina
Populus x jackii 'Northwest',32,47060298,7050017.00,Regina
Populus x jackii 'Northwest',41,47060298,7050017.00,Regina
Populus x jackii 'Northwest',48,47060298,7050017.00,Regina
Tilia,20,47060503,7050001.01,Regina
Tilia,28,47060503,7050001.01,Regina
Tilia,35,47060503,7050001.01,Regina
Tilia,25,47060503,7050001.01,Regina
Tilia,21,47060503,7050001.01,Regina
Ulmus americana,25,47060411,7050019.00,Regina
Picea,30,47060372,7050022.01,Regina
Picea,16,47060372,7050022.01,Regina
Picea,35,47060655,7050006.01,Regina
Picea,40,47060655,7050006.01,Regina
Picea,40,47060655,7050006.01,Regina
Picea,5,47060370,7050022.01,Regina
Picea,12,47060370,7050022.01,Regina
Fraxinus nigra,5,47060370,7050022.01,Regina
Fraxinus nigra,5,47060370,7050022.01,Regina
Fraxinus nigra,5,47060370,7050022.01,Regina
Picea,17,47060228,7050100.10,Regina
Fraxinus pennsylvanica,14,47060228,7050100.10,Regina
Picea,18,47060228,7050100.10,Regina
Picea,17,47060228,7050100.10,Regina
Picea,17,47060372,7050022.01,Regina
Picea,20,47060372,7050022.01,Regina
Picea,17,47060372,7050022.01,Regina
Fraxinus pennsylvanica,33,47060372,7050022.01,Regina
Fraxinus pennsylvanica,32,47060372,7050022.01,Regina
Fraxinus pennsylvanica,26,47060372,7050022.01,Regina
Ulmus pumila,30,47060410,7050019.00,Regina
Picea,50,47060655,7050006.01,Regina
Ulmus americana,48,47060372,7050022.01,Regina
Picea,26,47060372,7050022.01,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Populus x jackii 'Northwest',29,47060149,7050002.02,Regina
Populus x jackii 'Northwest',31,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Ulmus pumila,8,47062519,7050004.01,Regina
Acer negundo,12,47062519,7050004.01,Regina
Ulmus americana,30,47060411,7050019.00,Regina
Fraxinus pennsylvanica,10,47060655,7050006.01,Regina
Ulmus americana,35,47060411,7050019.00,Regina
Ulmus americana,30,47060411,7050019.00,Regina
Ulmus americana,40,47060411,7050019.00,Regina
Ulmus americana,40,47060655,7050006.01,Regina
Ulmus americana,40,47060655,7050006.01,Regina
Picea,14,47060148,7050002.02,Regina
Picea,12,47060148,7050002.02,Regina
Fraxinus pennsylvanica,14,47060148,7050002.02,Regina
Fraxinus pennsylvanica,25,47060655,7050006.01,Regina
Picea,30,47060655,7050006.01,Regina
Picea,25,47060655,7050006.01,Regina
Pinus,14,47060148,7050002.02,Regina
Picea,14,47060148,7050002.02,Regina
Picea,25,47060655,7050006.01,Regina
Picea,14,47060148,7050002.02,Regina
Picea,18,47060148,7050002.02,Regina
Populus x jackii 'Northwest',38,47060493,7050003.00,Regina
Populus x jackii 'Northwest',38,47060493,7050003.00,Regina
Populus x jackii 'Northwest',20,47060150,7050002.02,Regina
Picea,16,47060148,7050002.02,Regina
Picea,35,47060655,7050006.01,Regina
Picea,35,47060655,7050006.01,Regina
Ulmus americana,25,47060372,7050022.01,Regina
Picea,30,47060655,7050006.01,Regina
Picea,40,47060655,7050006.01,Regina
Picea,35,47060655,7050006.01,Regina
Picea,45,47060655,7050006.01,Regina
Fraxinus pennsylvanica,20,47060148,7050002.02,Regina
Pinus,23,47060372,7050022.01,Regina
Pinus,24,47060372,7050022.01,Regina
Pinus,20,47060372,7050022.01,Regina
Ulmus pumila,25,47060415,7050025.01,Regina
Ulmus pumila,6,47062519,7050004.01,Regina
Acer negundo,10,47062519,7050004.01,Regina
Fraxinus pennsylvanica,15,47062519,7050004.01,Regina
Fraxinus pennsylvanica,8,47062519,7050004.01,Regina
Fraxinus pennsylvanica,14,47062519,7050004.01,Regina
Picea,13,47060231,7050100.10,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Syringa reticulata,5,47060696,7050100.16,Regina
Syringa reticulata,5,47060696,7050100.16,Regina
Populus x jackii 'Northwest',50,47060353,7050023.01,Regina
Populus x jackii 'Northwest',26,47060353,7050023.01,Regina
Fraxinus pennsylvanica,29,47060353,7050023.01,Regina
Syringa reticulata,5,47060696,7050100.16,Regina
Syringa reticulata,5,47060696,7050100.16,Regina
Syringa reticulata,5,47060696,7050100.16,Regina
Syringa reticulata,5,47060696,7050100.16,Regina
Picea,20,47060353,7050023.01,Regina
Fraxinus pennsylvanica,24,47060393,7050100.15,Regina
Ulmus pumila,20,47060291,7050018.00,Regina
Ulmus americana,5,47060393,7050100.15,Regina
Ulmus americana,26,47060410,7050019.00,Regina
Ulmus americana,28,47060254,7050015.00,Regina
Fraxinus pennsylvanica,0,47060252,7050027.00,Regina
Fraxinus pennsylvanica,0,47060252,7050027.00,Regina
Prunus virginiana 'Schubert',9,47060398,7050028.03,Regina
Fraxinus pennsylvanica,14,47060327,7050028.03,Regina
Picea,39,47060145,7050002.02,Regina
Picea,43,47060145,7050002.02,Regina
Fraxinus pennsylvanica,38,47060333,7050028.03,Regina
Fraxinus pennsylvanica,12,47060142,7050003.00,Regina
Fraxinus pennsylvanica,11,47060142,7050003.00,Regina
Ulmus americana,50,47060488,7050001.02,Regina
Fraxinus pennsylvanica,27,47060333,7050028.03,Regina
Tilia,10,47060322,7050024.00,Regina
Tilia,22,47060503,7050001.01,Regina
Tilia,28,47060503,7050001.01,Regina
Unknown,43,47060486,7050001.02,Regina
Unknown,24,47060486,7050001.02,Regina
Fraxinus pennsylvanica,23,47060405,7050025.01,Regina
Ulmus americana,25,47060372,7050022.01,Regina
Ulmus americana,33,47060254,7050015.00,Regina
Picea,20,47060186,7050009.01,Regina
Picea,16,47060186,7050009.01,Regina
Picea,10,47060456,7050012.00,Regina
Ulmus americana,22,47060650,7050006.02,Regina
Unknown,10,47060677,7050100.18,Regina
Fraxinus pennsylvanica,21,47060370,7050022.01,Regina
Fraxinus pennsylvanica,21,47060370,7050022.01,Regina
Fraxinus pennsylvanica,32,47060252,7050027.00,Regina
Ulmus pumila,44,47060408,7050025.01,Regina
Picea,13,47060186,7050009.01,Regina
Picea,13,47060187,7050009.02,Regina
Fraxinus pennsylvanica,19,47060186,7050009.01,Regina
Ulmus americana,46,47060410,7050019.00,Regina
Ulmus americana,18,47060410,7050019.00,Regina
Ulmus americana,47,47060410,7050019.00,Regina
Populus x jackii 'Northwest',28,47062519,7050004.01,Regina
Picea,5,47060430,7050100.05,Regina
Fraxinus pennsylvanica,19,47060276,7050011.00,Regina
Fraxinus pennsylvanica,14,47060309,7050020.00,Regina
Fraxinus pennsylvanica,18,47060405,7050025.01,Regina
Fraxinus pennsylvanica,19,47060370,7050022.01,Regina
Ulmus americana,36,47060366,7050022.02,Regina
Fraxinus pennsylvanica,22,47060366,7050022.02,Regina
Picea,24,47060358,7050023.02,Regina
Picea,24,47060240,7050100.08,Regina
Ulmus americana,50,47062544,7050012.00,Regina
Fraxinus pennsylvanica,13,47060311,7050020.00,Regina
Fraxinus pennsylvanica,17,47060239,7050100.08,Regina
Ulmus americana,45,47060488,7050001.02,Regina
Ulmus americana,54,47060363,7050028.03,Regina
Fraxinus pennsylvanica,18,47060366,7050022.02,Regina
Fraxinus pennsylvanica,5,47060384,7050100.16,Regina
Fraxinus pennsylvanica,13,47060309,7050020.00,Regina
Ulmus americana,43,47060372,7050022.01,Regina
Ulmus americana,35,47060372,7050022.01,Regina
Ulmus americana,35,47060372,7050022.01,Regina
Ulmus pumila,34,47060142,7050003.00,Regina
Fraxinus pennsylvanica,0,47060253,7050017.00,Regina
Picea,28,47060149,7050002.02,Regina
Fraxinus pennsylvanica,26,47060334,7050100.03,Regina
Picea,36,47060405,7050025.01,Regina
Picea,48,47060405,7050025.01,Regina
Ulmus pumila,39,47060421,7050025.02,Regina
Ulmus pumila,40,47060421,7050025.02,Regina
Fraxinus pennsylvanica,5,47060384,7050100.16,Regina
Fraxinus pennsylvanica,5,47060384,7050100.16,Regina
Ulmus americana,28,47060372,7050022.01,Regina
Fraxinus pennsylvanica,21,47060650,7050006.02,Regina
Ulmus americana,16,47060650,7050006.02,Regina
Fraxinus pennsylvanica,17,47060650,7050006.02,Regina
Ulmus pumila,5,47062519,7050004.01,Regina
Populus x jackii 'Northwest',20,47062519,7050004.01,Regina
Ulmus americana,45,47060405,7050025.01,Regina
Fraxinus pennsylvanica,20,47060488,7050001.02,Regina
Syringa reticulata,5,47060696,7050100.16,Regina
Picea,45,47060655,7050006.01,Regina
Ulmus americana,18,47060298,7050017.00,Regina
Populus x jackii 'Northwest',42,47060298,7050017.00,Regina
Fraxinus pennsylvanica,18,47060298,7050017.00,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Ulmus americana,5,47060651,7050006.02,Regina
Fraxinus pennsylvanica,28,47060298,7050017.00,Regina
Picea,12,47060298,7050017.00,Regina
Picea,40,47060655,7050006.01,Regina
Picea,18,47060148,7050002.02,Regina
Fraxinus pennsylvanica,25,47060650,7050006.02,Regina
Fraxinus pennsylvanica,13,47060650,7050006.02,Regina
Ulmus americana,24,47060254,7050015.00,Regina
Fraxinus pennsylvanica,20,47060148,7050002.02,Regina
Fraxinus pennsylvanica,0,47060252,7050027.00,Regina
Salix,17,47060258,7050016.00,Regina
Ulmus americana,5,47060281,7050012.00,Regina
Ulmus pumila,28,47060408,7050025.01,Regina
Ulmus pumila,24,47060145,7050002.02,Regina
Fraxinus pennsylvanica,23,47060228,7050100.10,Regina
Ulmus americana,20,47060132,7050005.00,Regina
Ulmus americana,20,47060411,7050019.00,Regina
Ulmus americana,30,47060411,7050019.00,Regina
Picea,25,47060372,7050022.01,Regina
Pinus,24,47060372,7050022.01,Regina
Fraxinus nigra,5,47060370,7050022.01,Regina
Ulmus americana,30,47060411,7050019.00,Regina
Ulmus americana,40,47060411,7050019.00,Regina
Fraxinus pennsylvanica,7,47062519,7050004.01,Regina
Fraxinus pennsylvanica,10,47060353,7050023.01,Regina
Populus x jackii 'Northwest',32,47060353,7050023.01,Regina
Salix,24,47060353,7050023.01,Regina
Quercus macrocarpa,5,47060149,7050002.02,Regina
Populus x jackii 'Northwest',34,47062519,7050004.01,Regina
Ulmus americana,5,47060149,7050002.02,Regina
Ulmus pumila,18,47060408,7050025.01,Regina
Populus x jackii 'Northwest',24,47060252,7050027.00,Regina
Unknown,40,47060486,7050001.02,Regina
Ulmus americana,42,47060488,7050001.02,Regina
Fraxinus pennsylvanica,24,47060213,7050009.02,Regina
Ulmus americana,29,47060488,7050001.02,Regina
Ulmus americana,30,47060410,7050019.00,Regina
Ulmus americana,26,47060410,7050019.00,Regina
Ulmus americana,54,47060410,7050019.00,Regina
Ulmus americana,30,47060410,7050019.00,Regina
Ulmus americana,35,47060410,7050019.00,Regina
Prunus virginiana 'Schubert',5,47060150,7050002.02,Regina
Fraxinus pennsylvanica,12,47060252,7050027.00,Regina
Ulmus americana,34,47060327,7050028.03,Regina
Ulmus americana,31,47060410,7050019.00,Regina
Ulmus americana,20,47060410,7050019.00,Regina
Ulmus americana,28,47060410,7050019.00,Regina
Ulmus americana,52,47060410,7050019.00,Regina
Ulmus americana,38,47060410,7050019.00,Regina
Ulmus americana,45,47060410,7050019.00,Regina
Pinus strobus,12,47060486,7050001.02,Regina
Ulmus americana,5,47060324,7050024.00,Regina
Fraxinus nigra,5,47060495,7050003.00,Regina
Fraxinus pennsylvanica,0,47060252,7050027.00,Regina
Picea,28,47060149,7050002.02,Regina
Ulmus americana,22,47060650,7050006.02,Regina
Fraxinus pennsylvanica,20,47060650,7050006.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Fraxinus pennsylvanica,5,47060650,7050006.02,Regina
Fraxinus pennsylvanica,20,47060650,7050006.02,Regina
Populus x jackii 'Northwest',36,47060221,7050016.00,Regina
Ulmus americana,0,47060651,7050006.02,Regina
Populus x jackii 'Northwest',51,47060221,7050016.00,Regina
Ulmus pumila,30,47060291,7050018.00,Regina
Ulmus pumila,17,47060291,7050018.00,Regina
Ulmus pumila,17,47060291,7050018.00,Regina
Ulmus americana,5,47060366,7050022.02,Regina
Picea,36,47060145,7050002.02,Regina
Ulmus pumila,9,47060132,7050005.00,Regina
Ulmus pumila,28,47060291,7050018.00,Regina
Acer 'Keithsform',5,47060297,7050017.00,Regina
Populus x jackii 'Northwest',63,47060295,7050018.00,Regina
Ulmus americana,28,47060410,7050019.00,Regina
Ulmus americana,18,47060410,7050019.00,Regina
Ulmus americana,49,47060410,7050019.00,Regina
Fraxinus pennsylvanica,0,47062520,7050004.02,Regina
Picea,19,47060186,7050009.01,Regina
Picea,18,47060186,7050009.01,Regina
Fraxinus pennsylvanica,5,47060384,7050100.16,Regina
Fraxinus pennsylvanica,5,47060384,7050100.16,Regina
Fraxinus pennsylvanica,5,47060384,7050100.16,Regina
Picea,14,47060186,7050009.01,Regina
Picea,17,47060186,7050009.01,Regina
Picea,14,47060186,7050009.01,Regina
Picea,10,47060186,7050009.01,Regina
Syringa reticulata,5,47060149,7050002.02,Regina
Ulmus americana,5,47060281,7050012.00,Regina
Fraxinus pennsylvanica,23,47060366,7050022.02,Regina
Unknown,55,47060408,7050025.01,Regina
Fraxinus pennsylvanica,26,47060366,7050022.02,Regina
Ulmus americana,30,47060366,7050022.02,Regina
Ulmus americana,40,47060366,7050022.02,Regina
Ulmus americana,5,47060393,7050100.15,Regina
Ulmus americana,12,47060410,7050019.00,Regina
Ulmus americana,42,47060650,7050006.02,Regina
Fraxinus pennsylvanica,19,47060252,7050027.00,Regina
Ulmus americana,36,47060410,7050019.00,Regina
Ulmus americana,18,47060410,7050019.00,Regina
Ulmus americana,52,47060315,7050022.02,Regina
Populus x jackii 'Northwest',52,47060402,7050028.02,Regina
Fraxinus pennsylvanica,0,47062519,7050004.01,Regina
Fraxinus pennsylvanica,31,47060402,7050028.02,Regina
Fraxinus pennsylvanica,25,47060370,7050022.01,Regina
Ulmus pumila,34,47060421,7050025.02,Regina
Ulmus americana,33,47060366,7050022.02,Regina
Fraxinus pennsylvanica,10,47060418,7050025.02,Regina
Ulmus americana,28,47060372,7050022.01,Regina
Ulmus americana,29,47060372,7050022.01,Regina
Ulmus americana,30,47060372,7050022.01,Regina
Ulmus americana,32,47060372,7050022.01,Regina
Ulmus americana,15,47060372,7050022.01,Regina
Ulmus americana,38,47060372,7050022.01,Regina
Ulmus americana,43,47060372,7050022.01,Regina
Fraxinus pennsylvanica,24,47060240,7050100.08,Regina
Fraxinus pennsylvanica,40,47060333,7050028.03,Regina
Fraxinus pennsylvanica,21,47060393,7050100.15,Regina
Fraxinus pennsylvanica,16,47060393,7050100.15,Regina
Fraxinus pennsylvanica,33,47060254,7050015.00,Regina
Ulmus pumila,25,47060291,7050018.00,Regina
Picea,47,47060405,7050025.01,Regina
Populus x jackii 'Northwest',44,47060421,7050025.02,Regina
Ulmus pumila,45,47060421,7050025.02,Regina
Fraxinus pennsylvanica,0,47060370,7050022.01,Regina
Picea,19,47060186,7050009.01,Regina
Fraxinus nigra,22,47060320,7050021.00,Regina
Fraxinus nigra,29,47060320,7050021.00,Regina
Picea,29,47060672,7050100.10,Regina
Ulmus pumila,31,47060408,7050025.01,Regina
Ulmus pumila,20,47060408,7050025.01,Regina
Ulmus pumila,18,47060408,7050025.01,Regina
Ulmus pumila,44,47060408,7050025.01,Regina
Ulmus pumila,19,47060408,7050025.01,Regina
Ulmus pumila,58,47060408,7050025.01,Regina
Ulmus pumila,63,47060408,7050025.01,Regina
Ulmus pumila,36,47060408,7050025.01,Regina
Ulmus pumila,25,47060408,7050025.01,Regina
Picea,25,47060672,7050100.10,Regina
Fraxinus pennsylvanica,5,47060297,7050017.00,Regina
Picea,5,47060430,7050100.05,Regina
Picea,5,47060430,7050100.05,Regina
Populus x jackii 'Northwest',36,47060252,7050027.00,Regina
Ulmus pumila,22,47060408,7050025.01,Regina
Ulmus pumila,18,47060408,7050025.01,Regina
Ulmus pumila,21,47060408,7050025.01,Regina
Ulmus pumila,22,47060408,7050025.01,Regina
Picea,37,47060408,7050025.01,Regina
Picea,53,47060408,7050025.01,Regina
Picea,42,47060408,7050025.01,Regina
Ulmus pumila,20,47060408,7050025.01,Regina
Picea,5,47060430,7050100.05,Regina
Picea,5,47060430,7050100.05,Regina
Populus x jackii 'Northwest',45,47060340,7050023.01,Regina
Fraxinus pennsylvanica,7,47060650,7050006.02,Regina
Ulmus pumila,20,47060408,7050025.01,Regina
Populus x jackii 'Northwest',53,47060408,7050025.01,Regina
Ulmus pumila,36,47060408,7050025.01,Regina
Fraxinus pennsylvanica,12,47060252,7050027.00,Regina
Ulmus pumila,17,47060408,7050025.01,Regina
Fraxinus pennsylvanica,26,47060261,7050009.01,Regina
Ulmus americana,5,47060651,7050006.02,Regina
Ulmus americana,5,47060651,7050006.02,Regina
Pinus,0,47060651,7050006.02,Regina
Pinus,0,47060651,7050006.02,Regina
Pinus,0,47060651,7050006.02,Regina
Ulmus americana,16,47060651,7050006.02,Regina
Picea,0,,,
Picea,23,47060672,7050100.10,Regina
Ulmus americana,57,47060650,7050006.02,Regina
Fraxinus pennsylvanica,21,47060327,7050028.03,Regina
Ulmus americana,33,47060339,7050100.03,Regina
Fraxinus pennsylvanica,17,47062549,7050006.01,Regina
Unknown,24,47060486,7050001.02,Regina
Unknown,37,47060486,7050001.02,Regina
Unknown,10,47060677,7050100.18,Regina
Unknown,10,47060677,7050100.18,Regina
Ulmus americana,5,47060366,7050022.02,Regina
Ulmus americana,5,47060366,7050022.02,Regina
Ulmus americana,5,47060366,7050022.02,Regina
Ulmus americana,5,47060366,7050022.02,Regina
Prunus virginiana 'Schubert',28,47060486,7050001.02,Regina
Ulmus americana,35,47060488,7050001.02,Regina
Unknown,25,47060486,7050001.02,Regina
Ulmus americana,49,47060488,7050001.02,Regina
Ulmus americana,56,47060488,7050001.02,Regina
Fraxinus pennsylvanica,16,47060488,7050001.02,Regina
Fraxinus pennsylvanica,5,47060370,7050022.01,Regina
Fraxinus pennsylvanica,24,47060650,7050006.02,Regina
Ulmus americana,5,47060324,7050024.00,Regina
Ulmus americana,5,47060324,7050024.00,Regina
Fraxinus pennsylvanica,17,47060650,7050006.02,Regina
Ulmus americana,20,47060650,7050006.02,Regina
Ulmus americana,39,47060330,7050028.03,Regina
Ulmus americana,5,47060354,7050023.01,Regina
Ulmus americana,5,47060354,7050023.01,Regina
Fraxinus pennsylvanica,21,47060650,7050006.02,Regina
Fraxinus pennsylvanica,10,47060650,7050006.02,Regina
Fraxinus pennsylvanica,18,47060650,7050006.02,Regina
Ulmus americana,22,47060650,7050006.02,Regina
Fraxinus pennsylvanica,21,47060650,7050006.02,Regina
Fraxinus pennsylvanica,18,47060650,7050006.02,Regina
Ulmus americana,23,47060650,7050006.02,Regina
Fraxinus pennsylvanica,17,47060650,7050006.02,Regina
Ulmus americana,18,47060650,7050006.02,Regina
Fraxinus pennsylvanica,21,47060650,7050006.02,Regina
Fraxinus pennsylvanica,14,47060650,7050006.02,Regina
Acer 'Keithsform',25,47060186,7050009.01,Regina
Ulmus americana,34,47060366,7050022.02,Regina
Fraxinus pennsylvanica,13,47060650,7050006.02,Regina
Ulmus americana,26,47060650,7050006.02,Regina
Fraxinus pennsylvanica,25,47060650,7050006.02,Regina
Picea,35,47060150,7050002.02,Regina
Picea,35,47060150,7050002.02,Regina
Unknown,10,47060677,7050100.18,Regina
Prunus virginiana 'Schubert',5,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,16,47060489,7050002.02,Regina
Fraxinus pennsylvanica,33,47060295,7050018.00,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,25,47060144,7050002.02,Regina
Fraxinus nigra,14,47060495,7050003.00,Regina
Fraxinus nigra,14,47060495,7050003.00,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Picea,20,47060491,7050002.02,Regina
Fraxinus pennsylvanica,32,47060252,7050027.00,Regina
Picea,39,47060145,7050002.02,Regina
Ulmus pumila,56,47060142,7050003.00,Regina
Ulmus pumila,39,47060142,7050003.00,Regina
Picea,32,47060145,7050002.02,Regina
Picea,41,47060145,7050002.02,Regina
Picea,42,47060145,7050002.02,Regina
Fraxinus pennsylvanica,25,47060142,7050003.00,Regina
Fraxinus pennsylvanica,8,47060142,7050003.00,Regina
Ulmus pumila,41,47060142,7050003.00,Regina
Acer negundo,32,47060294,7050018.00,Regina
Prunus virginiana 'Schubert',15,47060149,7050002.02,Regina
Picea,58,47060149,7050002.02,Regina
Picea,58,47060149,7050002.02,Regina
Picea,58,47060149,7050002.02,Regina
Picea,58,47060149,7050002.02,Regina
Prunus virginiana 'Schubert',7,47060150,7050002.02,Regina
Picea,23,47060489,7050002.02,Regina
Prunus virginiana 'Schubert',7,47060150,7050002.02,Regina
Prunus virginiana 'Schubert',7,47060150,7050002.02,Regina
Picea,39,47060145,7050002.02,Regina
Picea,35,47060145,7050002.02,Regina
Fraxinus pennsylvanica,37,47060295,7050018.00,Regina
Fraxinus pennsylvanica,35,47060295,7050018.00,Regina
Picea,28,47060149,7050002.02,Regina
Picea,28,47060149,7050002.02,Regina
Picea,28,47060149,7050002.02,Regina
Picea,30,47060145,7050002.02,Regina
Picea,44,47060145,7050002.02,Regina
Ulmus americana,33,47060339,7050100.03,Regina
Fraxinus pennsylvanica,22,47060650,7050006.02,Regina
Fraxinus pennsylvanica,19,47060650,7050006.02,Regina
Ulmus americana,47,47060488,7050001.02,Regina
Picea,30,47060145,7050002.02,Regina
Picea,34,47060145,7050002.02,Regina
Tilia,30,47060144,7050002.02,Regina
Ulmus americana,34,47060145,7050002.02,Regina
Ulmus americana,40,47060145,7050002.02,Regina
Ulmus americana,35,47060650,7050006.02,Regina
